TempRev,TempSet,TimeLog
79.7,80.0,12:51:52
79.9,80.0,12:52:01
80.0,80.0,12:52:10
80.3,80.0,12:52:19
80.3,80.0,12:52:28
80.3,80.0,12:52:37
81.0,80.0,12:52:46
81.1,80.0,12:52:55
81.4,80.0,12:53:04
80.3,80.0,12:53:13
79.8,80.0,12:53:22
78.9,80.0,12:53:31
78.9,80.0,12:53:40
78.9,80.0,12:53:49
79.6,80.0,12:53:58
80.4,80.0,12:54:07
82.0,80.0,12:54:16
79.6,80.0,12:54:25
80.1,80.0,12:54:34
80.6,80.0,12:54:43
80.7,80.0,12:54:52
81.0,80.0,12:55:01
80.8,80.0,12:55:10
80.4,80.0,12:55:19
80.2,80.0,12:55:28
80.2,80.0,12:55:37
79.9,80.0,12:55:46
80.1,80.0,12:55:55
79.8,80.0,12:56:04
79.9,80.0,12:56:13
80.0,80.0,12:56:22
79.9,80.0,12:56:31
79.8,80.0,12:56:40
80.2,80.0,12:56:49
81.1,80.0,12:56:58
82.0,80.0,12:57:07
79.9,80.0,12:57:16
79.2,80.0,12:57:26
79.3,80.0,12:57:35
79.3,80.0,12:57:44
79.9,80.0,12:57:53
80.3,80.0,12:58:02
80.9,80.0,12:58:11
81.9,80.0,12:58:20
79.6,80.0,12:58:29
79.6,80.0,12:58:38
79.8,80.0,12:58:47
80.2,80.0,12:58:56
80.6,80.0,12:59:05
80.9,80.0,12:59:14
80.8,80.0,12:59:23
80.9,80.0,12:59:32
81.1,80.0,12:59:41
81.3,80.0,12:59:50
80.2,80.0,12:59:59
79.2,80.0,13:00:08
78.7,80.0,13:00:17
78.7,80.0,13:00:26
79.6,80.0,13:00:35
80.3,80.0,13:00:44
81.1,80.0,13:00:53
82.5,80.0,13:01:02
80.4,80.0,13:01:11
